"_","Id","Name","AccountId__c","ccrz__BillTo__c","Billing_Address__c","Billing_City_State_Zip__c","Bulk_Product_Count__c","Billing_Company_Name__c","ccrz__BuyerCompanyName__c","ccrz__ShipMethod__c","Average_Gross_Profit_Margin__c","Average_Per_Unit_Profit_Margin__c","Average_Net_Profit_Margin__c","ccrz__OrderNumber__c","Total_Cost__c","ccrz__TotalDiscount__c","Total_Weight__c"
"[ccrz__E_Order__c]","a0n5d00000UAP6jAAH","O-0000007732","0013h00000ztCtL","a0P5d000018j9waEAA","Reladyne Northeast Inc.<br>35 Drexel Drive<br>Bay Shore, NY 11706<br>United States","Bay Shore, NY 11706","3","Reladyne Northeast Inc.","","FOB Orgin (Customer Truck)","","","","1007732","17070.68","","50768.85"
"[ccrz__E_Order__c]","a0n5d00000UAP79AAH","O-0000007733","0013h00000ztCtL","a0P5d000018j9wpEAA","Reladyne Northeast Inc.<br>35 Drexel Drive<br>Bay Shore, NY 11706<br>United States","Bay Shore, NY 11706","3","Reladyne Northeast Inc.","","FOB Orgin (Customer Truck)","","","","1007733","25209.54","","50276.21"
"[ccrz__E_Order__c]","a0n5d00000UAP8HAAX","O-0000007734","0013h00000zug6v","a0P5d000018j9wuEAA","Northeast Lubricants, LTD<br>4500 Renaissance Parkway<br>Cleveland, OH 44128<br>United States","Cleveland, OH 44128","4","Northeast Lubricants, LTD","","FOB Orgin Pre-Pay & Add","","","","1007734","0","","48484.22"
"[ccrz__E_Order__c]","a0n5d00000UAP8tAAH","O-0000007735","0013h00000zug6v","a0P5d000018j9x9EAA","Northeast Lubricants, LTD<br>4500 Renaissance Parkway<br>Cleveland, OH 44128<br>United States","Cleveland, OH 44128","4","Northeast Lubricants, LTD","","FOB Orgin Pre-Pay & Add","","","","1007735","0","","47180.6"
"[ccrz__E_Order__c]","a0n5d00000UAP9ZAAX","O-0000007736","0013h00000zug6v","a0P5d000018j9xdEAA","Northeast Lubricants, LTD<br>4500 Renaissance Parkway<br>Cleveland, OH 44128<br>United States","Cleveland, OH 44128","3","Northeast Lubricants, LTD","","FOB Orgin Pre-Pay & Add","","","","1007736","0","","47726.75"
"[ccrz__E_Order__c]","a0n5d00000UAP9eAAH","O-0000007737","0013h00000zvDz5","a0P5d000018j9xiEAA","Lubenet LLC<br>126 Scott Avenue<br>Brooklyn, NY 11237<br>United States","Brooklyn, NY 11237","1","Lubenet LLC","","FOB Orgin Pre-Pay & Add","","","","1007737","0","","46800"
"[ccrz__E_Order__c]","a0n5d00000UAPCAAA5","O-0000007738","0013h00000zug6v","a0P5d000018j9y2EAA","Northeast Lubricants, LTD<br>4500 Renaissance Parkway<br>Cleveland, OH 44128<br>United States","Cleveland, OH 44128","4","Northeast Lubricants, LTD","","FOB Orgin Pre-Pay & Add","","","","1007738","0","","48614.5"
"[ccrz__E_Order__c]","a0n5d00000UAPCVAA5","O-0000007739","0013h00000zvDre","a0P5d000018j9yMEAQ","Les Frickshun Products, Inc<br>1705 Allegheny Boulevard<br>Reno, PA 16343<br>United States","Reno, PA 16343","4","Les Frickshun Products, Inc","","FOB Orgin Pre-Pay & Add","","","","1007739","21814.1","","46020.7"
"[ccrz__E_Order__c]","a0n5d00000UAPD6AAP","O-0000007740","0013h00000zugVU","a0P5d000018j9ygEAA","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","4","PPC Lubricants","","FOB Orgin Pre-Pay & Add","","","","1007740","0","","45947.82"
"[ccrz__E_Order__c]","a0n5d00000UAPRlAAP","O-0000007741","0013h000013tMFa","a0P5d000018jA1LEAU","NYSEG<br>89 East Avenue 4th Floor<br>Rochester, NY 14649<br>United States","Rochester, NY 14649","0","NYSEG","","FOB Orgin Pre-Pay & Add","","","","1007741","0","","1812.12"
"[ccrz__E_Order__c]","a0n5d00000UAPVqAAP","O-0000007742","0013h00000zvDrd","a0P5d000018jA3vEAE","K-Bros<br>70 Scott Drive<br>Westbrook, ME 04092<br>United States","Westbrook, ME 04092","4","K-Bros","","FOB Orgin Pre-Pay & Add","","","","1007742","0","","47603.51"
